year,state_po,district,republican_victory
2024,AL,1,TRUE
2024,AL,2,FALSE
2024,AL,3,TRUE
2024,AL,4,TRUE
2024,AL,5,TRUE
2024,AL,6,TRUE
2024,AL,7,FALSE
2024,AK,0,TRUE
2024,AZ,1,TRUE
2024,AZ,2,TRUE
2024,AZ,3,FALSE
2024,AZ,4,FALSE
2024,AZ,5,TRUE
2024,AZ,6,TRUE
2024,AZ,7,FALSE
2024,AZ,8,TRUE
2024,AZ,9,TRUE
2024,AR,1,TRUE
2024,AR,2,TRUE
2024,AR,3,TRUE
2024,AR,4,TRUE
2024,CA,1,TRUE
2024,CA,2,FALSE
2024,CA,3,TRUE
2024,CA,4,FALSE
2024,CA,5,TRUE
2024,CA,6,FALSE
2024,CA,7,FALSE
2024,CA,8,FALSE
2024,CA,9,FALSE
2024,CA,10,FALSE
2024,CA,11,FALSE
2024,CA,12,FALSE
2024,CA,13,FALSE
2024,CA,14,FALSE
2024,CA,15,FALSE
2024,CA,16,FALSE
2024,CA,17,FALSE
2024,CA,18,FALSE
2024,CA,19,FALSE
2024,CA,20,TRUE
2024,CA,21,FALSE
2024,CA,22,FALSE
2024,CA,23,TRUE
2024,CA,24,FALSE
2024,CA,25,FALSE
2024,CA,26,FALSE
2024,CA,27,FALSE
2024,CA,28,FALSE
2024,CA,29,FALSE
2024,CA,30,FALSE
2024,CA,31,FALSE
2024,CA,32,FALSE
2024,CA,33,FALSE
2024,CA,34,FALSE
2024,CA,35,FALSE
2024,CA,36,FALSE
2024,CA,37,FALSE
2024,CA,38,FALSE
2024,CA,39,FALSE
2024,CA,40,TRUE
2024,CA,41,TRUE
2024,CA,42,FALSE
2024,CA,43,FALSE
2024,CA,44,FALSE
2024,CA,45,FALSE
2024,CA,46,FALSE
2024,CA,47,FALSE
2024,CA,48,TRUE
2024,CA,49,FALSE
2024,CA,50,FALSE
2024,CA,51,FALSE
2024,CA,52,FALSE
2024,CO,1,FALSE
2024,CO,2,FALSE
2024,CO,3,TRUE
2024,CO,4,TRUE
2024,CO,5,TRUE
2024,CO,6,FALSE
2024,CO,7,FALSE
2024,CO,8,TRUE
2024,CT,1,FALSE
2024,CT,2,FALSE
2024,CT,3,FALSE
2024,CT,4,FALSE
2024,CT,5,FALSE
2024,DE,0,FALSE
2024,FL,1,TRUE
2024,FL,2,TRUE
2024,FL,3,TRUE
2024,FL,4,TRUE
2024,FL,5,TRUE
2024,FL,6,TRUE
2024,FL,7,TRUE
2024,FL,8,TRUE
2024,FL,9,FALSE
2024,FL,10,FALSE
2024,FL,11,TRUE
2024,FL,12,TRUE
2024,FL,13,TRUE
2024,FL,14,FALSE
2024,FL,15,TRUE
2024,FL,16,TRUE
2024,FL,17,TRUE
2024,FL,18,TRUE
2024,FL,19,TRUE
2024,FL,20,FALSE
2024,FL,21,TRUE
2024,FL,22,FALSE
2024,FL,23,FALSE
2024,FL,24,FALSE
2024,FL,25,FALSE
2024,FL,26,TRUE
2024,FL,27,TRUE
2024,FL,28,TRUE
2024,GA,1,TRUE
2024,GA,2,FALSE
2024,GA,3,TRUE
2024,GA,4,FALSE
2024,GA,5,FALSE
2024,GA,6,FALSE
2024,GA,7,TRUE
2024,GA,8,TRUE
2024,GA,9,TRUE
2024,GA,10,TRUE
2024,GA,11,TRUE
2024,GA,12,TRUE
2024,GA,13,FALSE
2024,GA,14,TRUE
2024,HI,1,FALSE
2024,HI,2,FALSE
2024,ID,1,TRUE
2024,ID,2,TRUE
2024,IL,1,FALSE
2024,IL,2,FALSE
2024,IL,3,FALSE
2024,IL,4,FALSE
2024,IL,5,FALSE
2024,IL,6,FALSE
2024,IL,7,FALSE
2024,IL,8,FALSE
2024,IL,9,FALSE
2024,IL,10,FALSE
2024,IL,11,FALSE
2024,IL,12,TRUE
2024,IL,13,FALSE
2024,IL,14,FALSE
2024,IL,15,TRUE
2024,IL,16,TRUE
2024,IL,17,FALSE
2024,IN,1,FALSE
2024,IN,2,TRUE
2024,IN,3,TRUE
2024,IN,4,TRUE
2024,IN,5,TRUE
2024,IN,6,TRUE
2024,IN,7,FALSE
2024,IN,8,TRUE
2024,IN,9,TRUE
2024,IA,1,TRUE
2024,IA,2,TRUE
2024,IA,3,TRUE
2024,IA,4,TRUE
2024,KS,1,TRUE
2024,KS,2,TRUE
2024,KS,3,FALSE
2024,KS,4,TRUE
2024,KY,1,TRUE
2024,KY,2,TRUE
2024,KY,3,FALSE
2024,KY,4,TRUE
2024,KY,5,TRUE
2024,KY,6,TRUE
2024,LA,1,TRUE
2024,LA,2,FALSE
2024,LA,3,TRUE
2024,LA,4,TRUE
2024,LA,5,TRUE
2024,LA,6,FALSE
2024,ME,1,FALSE
2024,ME,2,FALSE
2024,MD,1,TRUE
2024,MD,2,FALSE
2024,MD,3,FALSE
2024,MD,4,FALSE
2024,MD,5,FALSE
2024,MD,6,FALSE
2024,MD,7,FALSE
2024,MD,8,FALSE
2024,MA,1,FALSE
2024,MA,2,FALSE
2024,MA,3,FALSE
2024,MA,4,FALSE
2024,MA,5,FALSE
2024,MA,6,FALSE
2024,MA,7,FALSE
2024,MA,8,FALSE
2024,MA,9,FALSE
2024,MI,1,TRUE
2024,MI,2,TRUE
2024,MI,3,FALSE
2024,MI,4,TRUE
2024,MI,5,TRUE
2024,MI,6,FALSE
2024,MI,7,TRUE
2024,MI,8,FALSE
2024,MI,9,TRUE
2024,MI,10,TRUE
2024,MI,11,FALSE
2024,MI,12,FALSE
2024,MI,13,FALSE
2024,MN,1,TRUE
2024,MN,2,FALSE
2024,MN,3,FALSE
2024,MN,4,FALSE
2024,MN,5,FALSE
2024,MN,6,TRUE
2024,MN,7,TRUE
2024,MN,8,TRUE
2024,MS,1,TRUE
2024,MS,2,FALSE
2024,MS,3,TRUE
2024,MS,4,TRUE
2024,MO,1,FALSE
2024,MO,2,TRUE
2024,MO,3,TRUE
2024,MO,4,TRUE
2024,MO,5,FALSE
2024,MO,6,TRUE
2024,MO,7,TRUE
2024,MO,8,TRUE
2024,MT,1,TRUE
2024,MT,2,TRUE
2024,NE,1,TRUE
2024,NE,2,TRUE
2024,NE,3,TRUE
2024,NV,1,FALSE
2024,NV,2,TRUE
2024,NV,3,FALSE
2024,NV,4,FALSE
2024,NH,1,FALSE
2024,NH,2,FALSE
2024,NJ,1,FALSE
2024,NJ,2,TRUE
2024,NJ,3,FALSE
2024,NJ,4,TRUE
2024,NJ,5,FALSE
2024,NJ,6,FALSE
2024,NJ,7,TRUE
2024,NJ,8,FALSE
2024,NJ,9,FALSE
2024,NJ,10,FALSE
2024,NJ,11,FALSE
2024,NJ,12,FALSE
2024,NM,1,FALSE
2024,NM,2,FALSE
2024,NM,3,FALSE
2024,NY,1,TRUE
2024,NY,2,TRUE
2024,NY,3,FALSE
2024,NY,4,FALSE
2024,NY,5,FALSE
2024,NY,6,FALSE
2024,NY,7,FALSE
2024,NY,8,FALSE
2024,NY,9,FALSE
2024,NY,10,FALSE
2024,NY,11,TRUE
2024,NY,12,FALSE
2024,NY,13,FALSE
2024,NY,14,FALSE
2024,NY,15,FALSE
2024,NY,16,FALSE
2024,NY,17,TRUE
2024,NY,18,FALSE
2024,NY,19,FALSE
2024,NY,20,FALSE
2024,NY,21,TRUE
2024,NY,22,FALSE
2024,NY,23,TRUE
2024,NY,24,TRUE
2024,NY,25,FALSE
2024,NY,26,FALSE
2024,NC,1,FALSE
2024,NC,2,FALSE
2024,NC,3,TRUE
2024,NC,4,FALSE
2024,NC,5,TRUE
2024,NC,6,TRUE
2024,NC,7,TRUE
2024,NC,8,TRUE
2024,NC,9,TRUE
2024,NC,10,TRUE
2024,NC,11,TRUE
2024,NC,12,FALSE
2024,NC,13,TRUE
2024,NC,14,TRUE
2024,ND,0,TRUE
2024,OH,1,FALSE
2024,OH,2,TRUE
2024,OH,3,FALSE
2024,OH,4,TRUE
2024,OH,5,TRUE
2024,OH,6,TRUE
2024,OH,7,TRUE
2024,OH,8,TRUE
2024,OH,9,FALSE
2024,OH,10,TRUE
2024,OH,11,FALSE
2024,OH,12,TRUE
2024,OH,13,FALSE
2024,OH,14,TRUE
2024,OH,15,TRUE
2024,OK,1,TRUE
2024,OK,2,TRUE
2024,OK,3,TRUE
2024,OK,4,TRUE
2024,OK,5,TRUE
2024,OR,1,FALSE
2024,OR,2,TRUE
2024,OR,3,FALSE
2024,OR,4,FALSE
2024,OR,5,FALSE
2024,OR,6,FALSE
2024,PA,1,TRUE
2024,PA,2,FALSE
2024,PA,3,FALSE
2024,PA,4,FALSE
2024,PA,5,FALSE
2024,PA,6,FALSE
2024,PA,7,TRUE
2024,PA,8,TRUE
2024,PA,9,TRUE
2024,PA,10,TRUE
2024,PA,11,TRUE
2024,PA,12,FALSE
2024,PA,13,TRUE
2024,PA,14,TRUE
2024,PA,15,TRUE
2024,PA,16,TRUE
2024,PA,17,FALSE
2024,RI,1,FALSE
2024,RI,2,FALSE
2024,SC,1,TRUE
2024,SC,2,TRUE
2024,SC,3,TRUE
2024,SC,4,TRUE
2024,SC,5,TRUE
2024,SC,6,FALSE
2024,SC,7,TRUE
2024,SD,0,TRUE
2024,TN,1,TRUE
2024,TN,2,TRUE
2024,TN,3,TRUE
2024,TN,4,TRUE
2024,TN,5,TRUE
2024,TN,6,TRUE
2024,TN,7,TRUE
2024,TN,8,TRUE
2024,TN,9,FALSE
2024,TX,1,TRUE
2024,TX,2,TRUE
2024,TX,3,TRUE
2024,TX,4,TRUE
2024,TX,5,TRUE
2024,TX,6,TRUE
2024,TX,7,FALSE
2024,TX,8,TRUE
2024,TX,9,FALSE
2024,TX,10,TRUE
2024,TX,11,TRUE
2024,TX,12,TRUE
2024,TX,13,TRUE
2024,TX,14,TRUE
2024,TX,15,TRUE
2024,TX,16,FALSE
2024,TX,17,TRUE
2024,TX,18,FALSE
2024,TX,19,TRUE
2024,TX,20,FALSE
2024,TX,21,TRUE
2024,TX,22,TRUE
2024,TX,23,TRUE
2024,TX,24,TRUE
2024,TX,25,TRUE
2024,TX,26,TRUE
2024,TX,27,TRUE
2024,TX,28,FALSE
2024,TX,29,FALSE
2024,TX,30,FALSE
2024,TX,31,TRUE
2024,TX,32,FALSE
2024,TX,33,FALSE
2024,TX,34,FALSE
2024,TX,35,FALSE
2024,TX,36,TRUE
2024,TX,37,FALSE
2024,TX,38,TRUE
2024,UT,1,TRUE
2024,UT,2,TRUE
2024,UT,3,TRUE
2024,UT,4,TRUE
2024,VT,0,FALSE
2024,VA,1,TRUE
2024,VA,2,TRUE
2024,VA,3,FALSE
2024,VA,4,FALSE
2024,VA,5,TRUE
2024,VA,6,TRUE
2024,VA,7,FALSE
2024,VA,8,FALSE
2024,VA,9,TRUE
2024,VA,10,FALSE
2024,VA,11,FALSE
2024,WA,1,FALSE
2024,WA,2,FALSE
2024,WA,3,FALSE
2024,WA,4,TRUE
2024,WA,5,TRUE
2024,WA,6,FALSE
2024,WA,7,FALSE
2024,WA,8,FALSE
2024,WA,9,FALSE
2024,WA,10,FALSE
2024,WV,1,TRUE
2024,WV,2,TRUE
2024,WI,1,TRUE
2024,WI,2,FALSE
2024,WI,3,TRUE
2024,WI,4,FALSE
2024,WI,5,TRUE
2024,WI,6,TRUE
2024,WI,7,TRUE
2024,WI,8,TRUE
2024,WY,0,TRUE
